post_id,predicted_tense,true_tense
9xg6r4,1,1
9xi2xi,1,1
aavq25,0,1
afpnp5,0,1
afx8yx,0,1
al79i4,1,1
alh546,1,1
6s0j7i,1,1
6s4xxo,1,1
6s7xs8,1,1
6sar1g,1,1
6sd792,1,1
6sljr4,1,1
6svd9w,1,0
6t3kmz,1,1
6tftx6,1,1
6txtfr,1,1
6ulw5h,1,1
72a4kn,1,1
7stchx,0,1
56618n,1,0
6u5ay9,1,0
8fyak2,1,1
95rt7a,1,1
9lvjm6,1,1
1lnlpj,1,0
1tf3eu,1,1
21twgm,1,1
2270sz,1,0
2e3dti,1,0
2o2x9k,1,0
2p3z7g,1,0
2qazkg,1,1
2qyi32,1,1
32g10n,1,1
3igjpx,1,1
3qpa18,1,1
3t0tvc,0,1
6goqfz,1,0
7ja12y,1,1
7k5hvx,1,0
7km083,0,1
7lowxe,1,1
7p6600,1,1
7svg3u,1,0
7tj2l7,1,1
7triel,1,1
7u95fx,1,1
8glscb,0,1
8gtkgq,1,1
96xltz,1,1
97ozql,1,1
9dyqcs,1,1
9pvhtb,1,1
9v6zja,1,0
c94690,1,1
c9vpjg,1,1
cggvwi,1,1
1d92yl,1,1
2po33a,1,1
2tln7x,1,1
2uqm9q,1,1
37oykz,1,1
3d87cf,1,1
3lh2yv,1,1
3li7sr,1,1
3lnjiv,1,1
3n2lhz,1,1
3o1ofl,1,1
3omxe0,0,1
2kelvp,0,1
31jxvi,1,1
39mu1q,1,1
3d63dz,1,1
3djk9q,1,1
3erc0l,1,1
3irkvv,1,1
3k3ymy,1,1
3xgj38,1,1
459p1q,1,1
4lc68d,1,1
6nvhdx,1,0
6w6ajl,1,0
6w6ct6,1,0
75qae3,1,1
75r713,1,1
75z5f4,1,1
76n8qh,1,1
76susr,1,1
7bwab7,1,1
7d78f1,1,1
7imefg,1,0
7kf1zl,1,1
7l47az,1,1
7lo8k1,1,1
7lo9eb,1,1
7mvmnk,1,0
7npcnm,1,0
7szari,1,0
8461tt,1,0
86dnqg,1,1
88suop,0,1
8ch13k,0,1
8e96en,1,1
8rw114,0,1
8rw3kr,0,1
9a289p,1,1
9oq7uc,1,1
4su46z,1,0
4weq7w,1,0
4wz1zk,1,0
4x0qdw,1,1
4xhg43,1,1
3vgc3p,0,1
5b0wy1,1,1
5hievf,1,1
5k1o0g,1,1
5k1oee,1,1
5ogbx0,1,1
5tkele,1,1
6pevu3,1,1
6so434,1,1
6yx7cl,0,1
7g4wqe,1,1
7utwml,1,1
7wgn6u,1,1
7zoddk,1,1
8ty54o,1,1
9eheaz,1,1
adf5eo,1,1
64ib16,1,1
65amiz,1,0
6bungt,1,1
6bv001,1,1
6d0m6u,1,1
6eni2i,1,1
6f6hm3,1,1
6gquvp,1,1
6jsh71,1,1
6s32sv,1,1
6vx1z8,0,1
75usyl,1,1
9r7jvb,1,1
9rgnuu,1,1
akkd6f,1,1
21qjm8,1,1
2chamm,1,0
2dgb15,1,1
2dqm1m,1,1
2dtp5p,1,1
2ekc5q,1,0
2eu61b,1,1
2f6l3u,1,1
2fqh63,1,1
2fyi7y,1,1
2g8wqx,1,1
2h236d,1,1
2hcdfs,1,1
2i7zgb,1,1
2ivdyt,1,1
2lr7de,1,1
2n5vj8,1,1
2nkbfq,1,1
3gcc7r,0,0
2hoo9h,0,1
2icg4d,1,0
2j8zso,0,1
2jlf7o,1,1
2johmn,1,0
2ljykd,1,1
8jsh11,1,1
8kow2v,0,1
912r36,0,1
930pja,0,1
18hogu,0,1
1g3two,0,1
1g3x3z,1,0
1g9a1l,0,1
1gya0u,1,1
1m04ox,1,1
24oizv,1,1
2eo8fu,1,1
2qegjj,1,1
2qraq3,1,1
2uted8,0,1
2zlapn,1,1
2ztmsi,1,0
354b3f,1,1
356qxg,1,1
374yoy,1,1
3b662j,1,1
4t96r7,0,1
5cfk3y,1,0
5do5w4,1,1
5e021n,1,1
5lmr46,1,1
5m7uxx,1,1
5m8cbd,0,1
5vz0c8,1,1
5wa2x6,1,1
5wbuio,1,1
5wvc6g,1,1
626yao,1,0
65cetl,0,1
69elm6,1,1
6w32fm,1,1
5eyu2c,0,1
5fakxa,0,1
5gec3u,1,1
5k5ef8,0,1
6h5m7b,1,0
4g4vh6,1,0
4i9974,1,1
4ml4hi,1,1
4op8in,1,1
4z2mam,1,1
557aht,1,1
5899fw,0,1
7v4a5x,1,1
8e2q2w,1,1
8foj96,1,1
3l9j7c,1,1
3le8du,1,1
3lelam,1,1
3mo5w2,1,1
3n2ovm,0,1
3ntap0,1,1
3plm0v,0,1
5m1kxs,1,0
5mois4,1,1
5mt9d3,1,1
5mybow,0,1
5nrffi,1,1
70e73c,1,1
71fs3w,0,1
73aox3,0,1
82lvqg,0,1
8y5xe0,0,1
913j09,1,1
1d1z30,1,1
1fi63n,1,1
1mdn4w,1,1
3ec0k1,1,1
47821b,1,1
2usdaq,1,1
3p630r,1,1
42jqib,1,0
5tk2th,1,1
5y34e5,1,1
4wghw3,1,1
4wn4lx,1,1
4x22ko,1,1
4x2cmy,1,0
4x5tju,1,1
4xfdei,1,1
4xolj8,1,0
4xth55,0,1
4xwgnk,1,1
4y60d1,1,1
4yd4cu,1,1
4zfsrv,1,1
50eob3,0,1
50fctm,1,1
50r0kv,1,1
50uqqk,1,1
51jogj,1,1
51mlcc,1,1
52f0y8,1,1
52mzs8,1,0
52no2p,1,0
52qzf0,1,0
60lats,1,1
651szn,1,1
6th6ut,1,1
6toxjp,0,1
722d29,0,1
1k5gaz,1,1
1lmluc,1,1
1m1di0,1,1
1ni8o7,1,1
1vp1ae,1,1
1wquz1,1,1
1xeg63,1,1
1zqlhf,1,1
23pv38,0,1
23vo4z,0,1
25wok0,0,1
25xrjo,1,1
27hc44,1,1
29pe97,1,1
2b0q0j,1,1
2c7h7s,0,1
2o3xge,1,1
2ocg89,1,1
2xnxmu,1,1
36cxa9,1,1
5sb0ez,1,1
5thap3,1,1
5ura51,1,1
5v9njc,1,1
64ohbl,0,1
65nbjs,1,1
1peg8y,1,0
1rpx11,1,0
1s505e,1,1
1s80yh,1,1
1sez54,1,1
2522nd,1,1
27ilju,0,1
27q7rn,0,1
2cgdn8,1,0
2gyhsa,1,0
2o8onl,1,1
2qinso,1,1
53g3xm,1,1
8fwt2u,1,1
8je6i3,1,1
8k1ipv,1,1
8k1k5h,1,1
8l6lf1,1,1
94hw0w,1,0
99v50z,0,1
9ty9nh,1,1
a9vnxz,1,1
ah3b4a,1,1
btujsy,1,0
bz8m4u,1,0
5zufu4,1,0
6onjd6,1,1
6ooeq0,1,1
6q4a92,1,1
6qgu9j,1,1
6r08x3,1,1
6tjed3,1,1
6vtbvd,1,0
6ycv55,1,0
6zysjf,1,1
70fisp,1,1
7bvqvj,1,1
7k3g81,1,0
8b1hh0,1,1
8h9u39,1,0
3x916d,0,1
3y8uqq,1,1
3yo8bf,1,1
431q6i,0,1
456ewl,1,1
45afjw,1,1
4g8w0z,1,1
4hv25r,1,1
4zos1m,0,1
5sl9q2,1,1
60a2qw,0,1
8vcvnf,1,1
bnfbis,1,1
6213cc,1,1
65x0y0,1,0
68tugp,1,0
69rsvb,1,1
6ubnhg,1,1
7b8yd7,1,0
7pbgsj,1,1
95s5im,1,1
yrdfn,1,1
11t3ai,1,1
13hkwt,1,1
16ksus,1,1
1gd80o,0,1
1t80g3,0,1
2h6z88,1,1
3hgu09,1,0
4tssfz,1,1
4turk4,1,1
4ty1r4,1,1
4tydti,1,1
4uimtr,1,1
4vauox,1,1
57t3eo,0,1
5d3b6i,1,1
5nmk3j,1,1
5xb5zz,1,1
8n7rsa,1,1
4pbh5h,0,1
68t4xs,1,1
6eatyc,1,1
6fbatf,1,1
6k1z9f,1,1
7a1qci,0,1
7r7njn,1,1
8ci1wf,1,1
8reqyf,1,1
ae2rfw,1,1
4o4lrm,1,1
6k6l0e,0,1
75ymwk,0,1
7ms1qp,1,1
7q3s1u,1,1
7scuae,1,1
7uh5kq,0,1
7ysc8t,0,1
80opg3,1,1
87xzz2,0,1
8c0bx7,0,1
8ecoun,1,1
8jefqu,1,1
ah548w,1,1
20vf2z,1,1
22gu95,1,1
2a2vyo,1,1
2aiuzq,1,1
2t219z,1,0
420kus,1,1
5p3ha3,0,1
7v9sgj,1,0
3j7ys7,1,1
3u5edk,1,1
3xc2jo,1,1
4l7t84,0,1
4nej8v,0,1
4q4v1a,1,1
51m0hv,1,1
54vnx9,1,1
7lnq2e,1,1
7mvnfn,1,1
aft1cg,1,0
2dgcl6,1,1
2dsyef,1,1
2ji0c6,1,1
2l1ir7,1,1
2lnb5k,1,1
2tfp54,1,1
2uwlao,1,1
2vqj0o,1,1
2x51r2,1,1
2yqk8v,1,1
30j411,0,1
31le5r,1,1
31x4d2,0,1
321w3c,1,1
32wxna,1,1
35ip7o,0,1
36iaud,0,1
3a9zzd,1,1
3arut4,0,1
3bbq7v,1,1
3bd3fy,1,1
99wqcp,1,1
9aapzt,1,1
9c6xez,1,1
9hktm7,1,1
9tq12o,1,1
9yz6dy,1,1
aep1b6,1,1
aiii48,1,1
av8v4r,1,1
awozxz,1,1
azcgte,1,1
b176mz,1,1
b3mgx6,1,1
b76t04,1,1
b78h0j,1,1
bad5yw,1,1
bclisc,1,1
bf6i4s,1,1
bk2pll,1,1
bxczdq,1,1
cb9g1c,1,1
1naxdu,1,1
1nij95,1,0
1nu173,1,1
1pdijm,1,1
1q5itf,1,1
1rzh7m,1,1
1sdmc7,1,1
1smfyt,1,1
1spino,1,1
1st6ax,1,1
1texc2,1,1
1v372o,1,1
1vuf71,1,1
1vxjmy,1,1
1wsf9j,1,0
1xyyz2,1,1
1ym81n,1,1
26l19t,1,1
270jse,1,1
h9j30,0,1
haziq,0,1
hbm98,0,1
hcatr,1,1
hggno,0,1
hmni7,0,1
hpvx3,0,1
hu6c4,0,1
ihhpb,0,1
ln2i6,0,1
lyx1f,0,1
pox7q,0,1
q24sz,0,1
tvcan,1,1
139cae,0,1
1o0dgr,0,1
1o6f4y,0,1
3kyrfw,1,1
3nbed3,0,1
3nify8,1,1
3nqduu,0,1
3nx8md,0,1
3o3urm,1,1
3oi8bd,1,0
3qr720,0,1
3qrapd,1,1
5v8nzk,0,1
60hxnq,1,1
63of95,0,1
64t3ja,0,1
65s7c3,1,1
660fow,1,1
667ayt,1,1
66i1lx,1,1
66n3zi,1,1
67365w,0,1
676662,0,1
68y8ly,0,1
9mpfob,0,1
23oe3c,1,0
2euvu7,0,1
2f3p9p,1,1
2feg71,1,1
2g1bpo,1,1
2g2bau,0,1
2j9myu,0,1
2qncjf,1,1
2uuhv1,0,1
2ymkwh,0,1
3n770r,1,1
3orp81,0,1
3qyk6b,1,1
4me27z,1,1
7nhw1l,1,0
195zqa,1,1
19fd8p,0,1
19fj5o,0,1
1a13tk,1,1
1bosyo,1,1
1cyrwq,1,1
1fn2fb,1,1
1tof60,1,1
1tun3q,1,1
1u3k1l,1,1
1u5c2h,1,1
1ua06b,1,0
211yw4,1,1
2j19lb,1,1
2pkwer,1,1
2puo9a,1,0
2qhyvn,1,1
3a3ier,1,1
3a3wr9,1,1
3paytc,0,1
3pb0qj,0,1
3vmjm9,1,1
510t9h,1,1
537rp3,1,1
6ibq6s,1,1
6or7wx,1,1
2w23fp,1,1
30w7kz,1,1
3ce9om,1,1
3ir7o7,1,1
3u0p3d,0,1
3zmmqw,1,1
40jtor,0,1
43rva7,0,1
44jtfb,1,1
47t6jd,1,1
4t5tvo,0,1
79xohy,1,1
7iz24v,1,0
8n5lpd,1,1
